Название,ID,Тип_алкоголя,Категория,Изображение,Бокал,Ингредиент1,Ингредиент2,Ингредиент3,Ингредиент4,Ингредиент5,Инструкция,Мера1,Мера2
Amaretto Sunset,17168,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,Collins Glass,Triple sec,Amaretto,Cider,Ice,0,"Быстро встряхните ингредиенты в миксере бармена, всего 5 встряхивания. Процедить лед, немедленно подавайте в стекле с кусочком апельсина.",1/2 джиггер ,3 shots 
Amaretto Sweet & Sour,16202,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,Маргарита,Amaretto,Sweet and sour,Midori melon liqueur,Pineapple juice,0,"Заполните блендер 3/4 льда. Добавьте сладкую и кислучную смесь в верхнюю часть льда. Добавьте около 1 ""ананасового сока, 1/2"" мелонового лицер и от 1/2 до 1/4 ""амаретто. Затем смешайте смесь, пока она не станет консистенции Маргаритта или более тонкой.","
","
"
Amaretto Tea,11029,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,Бокал пусс-кафе,Tea,Amaretto,Whipped cream,0,0,"Вылейте горячий чай в стакан с пуш-кафе, используя ложку в стекле, чтобы предотвратить растрескивание. Добавьте амаретто, но не перемешайте. Вершина с охлажденными взбитыми сливками и подавать.",6 унция hot ,2 унция 
Americano,15941,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,Коллинз,Campari,Sweet Vermouth,Lemon peel,Orange peel,0,"Вылейте Кампари и Вермут на лед в стекло, добавьте всплеск водой содовой и украсьте половиной оранжевого кусочка.",1 унция ,1 унция red 
Angel Face,11034,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,Коктейльный бокал,Apricot brandy,Apple brandy,Gin,0,0,Встряхните все ингредиенты со льдом и напрягайте содержимое в коктейльный стакан.,1/2 унция ,1/2 унция 
Angelica Liqueur,12794,Алкогольный,Домашний ликер,http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,Collins Glass,Angelica root,Almond,Allspice,Cinnamon,Anise,"Объедините все травы, орехи и специи с водкой в ​​1 литровом или более высоком стареющем контейнере. Кэпка плотно и встряхните ежедневно в течение 2 недель. Процедить тонкую муслиновую ткань или кофейный фильтр, отбрасывая твердые вещества. Очистить старение контейнера. Поместите жидкость обратно в контейнер. Поместите сахар и воду в кастрюлю и перемешайте, чтобы смешать на среднем огне. Когда сахар полностью растворяется, отложите в сторону и дайте остыть. Когда охлаждение в сочетании с пищевой окраской и добавьте в ликер жидкость. Кепку и позвольте возрасти и смягчить в прохладном, темном месте в течение одного месяца.",3 столовая ложка chopped,1 столовая ложка chopped 
Apello,15106,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Collins Glass,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,0,Мешание Грниш с мараскино вишневой.,4 сантилитр ,3 сантилитр 
Apple Berry Smoothie,12710,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,Highball Glass,Berries,Apple,0,0,0,Бросьте все в блендер и перечислите.,1 чашка ,2 
Apple Cider Punch #1,12864,Опционально алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg,Collins Glass,Apple cider,Brown sugar,Lemonade,Orange juice,Cloves,"Если вы используете все все специи и гвоздики, завяжите их в чизкроте. Нагрейте смесь. Иногда перемешивайте. Если вы хотите алкогольный напиток, ром был бы хорош.",4 qt ,1 чашка 
Apple Grande,16289,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,Punch Bowl,Tequila,Apple cider,0,0,0,Охладите оба ингредиента! Смешайте в тумблере и наслаждайтесь!,3 унция ,12 унция 
Apple Karate,12564,Безалкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,Highball Glass,Apple juice,Carrot,0,0,0,"Поместите все ингредиенты в банок блендера - накрыть и взведите на среднюю скорость, пока не смешано. Вылейте один высокий, 2 среднего или 3 маленьких стакана и выпейте.",2 cups ,1 large 
Apple Pie with A Crust,16958,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,Collins Glass,Apple juice,Malibu rum,Cinnamon,0,0,"Просто смешайте две жидкости и посыпьте в корицу. Подавать либо холод, либо нагреть.",3 parts ,1 часть 
Apple Slammer,13683,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,Шот,7-Up,Apple schnapps,0,0,0,"Вылейте в бокал и присутствуют потребителю, они должны покрыть верхнюю часть выстрела ладони, поднимите стакан, быстро хлопните его по решетке и ласточке.",1 часть ,1 часть 
Applecar,11046,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Коктейльный бокал,Applejack,Triple sec,Lemon juice,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1 унция ,1 унция 
Applejack,16311,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Коктейльный бокал,Jack Daniels,Midori melon liqueur,Sour mix,0,0,"Добавить все ингредиенты в смешивание стекла, охладить и напрягать в коктейль",1 унция ,1/2 унция 
Apricot Lady,11050,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,Олд-фэшн,Light rum,Apricot brandy,Triple sec,Lemon juice,Egg white,"В шейкере, наполовину заполненном кубиками льда, объедините ром, абрикосовый бренди, тройной SEC, лимонный сок и яичный белок. Встряхнуть хорошо. Процедить в старомодный стакан, почти наполненный кубиками льда. Украсить апельсиновым ломтиком.",1 1/2 унция ,1 унция 
